#,Tracker,Status,Priority,Subject,Assignee,Updated,Description
21012,Ошибка,Новая,Высокий,Невозможно зарегистрироваться в личном кабинете,"",05/22/2023 03:36 PM,"*Description*

*Шаги воспроизведения*
1)Открыть сайт
2)Кликнуть слово ""Вход"" справа на хедере
3)В открывшемся окне кликнуть на ""регистрация""
4)ввести имя и номер телефона

*Ожидаемый результат:*
На телефон приходит СМС с паролем

*Фактический результат:* 
1)СМС с паролем на указанный номер не приходит
2)Переход на страницу со словами на английском языке ""an error was encountered the question you have requested is not allowed""(произошла ошибка запрошенный вами вопрос не разрешен)

https://prnt.sc/LyWKsly6fc2-"
21011,Ошибка,Новая,Нормальный,Не открывает страницы на кликабельные марки товаров через поисковик в хедере,Виктор Войтенко,05/22/2023 02:10 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Написать в поисковик марку товара
3) Попытаться перейти через поисковик

*Ожидаемый результат:* Откроет страницу с выбранной маркой товара
*Фактический результат:* Не открывает страницу с выбранной маркой товара

https://gyazo.com/8e890a8f2590238427776f44043a9855"
21010,Ошибка,Новая,Низкий,"Отсутствуют ""Новости и Статьи"" в некоторых категориях ",Виктор Войтенко,05/22/2023 01:55 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Перейти в категорию ""Наручные часы""
3) Пролистать к ""Новости и Статьи""

*Ожидаемый результат:* ""Новости и Статьи"" будут отображаться в футере
*Фактический результат:* ""Новости и Статьи"" не отображаются в некоторых категориях

*Ожидаемый результат(скрин):* https://gyazo.com/074090bdf0d723c4e2cc59f1c044f8ff
*Фактический результат(скрин):* https://gyazo.com/c7c141a2f2c73185f62965237d349d80"
21009,Ошибка,Новая,Низкий,"Отсутствует лого. фирмы ""Apple"" в категории ""Наручные часы""",Виктор Войтенко,05/22/2023 01:49 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Перейти в категорию ""Наручные часы""

*Ожидаемый результат:* Лого фирмы ""Apple"" будет среди других фирм и их лого
*Фактический результат:* Отсутствует лого фирмы ""Apple"" среди других фирм и их лого

https://gyazo.com/252b4dd2bf07279267c0536af00cdc06"
21008,Ошибка,Новая,Нормальный,"Не сразу переводит на ""UA"" локализацию",Виктор Войтенко,05/22/2023 01:36 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) На главной странице в хедере сменить локализацию

*Ожидаемый результат:* Перевод страницы сразу на выбранную Локализацию после смены ее в хедере
*Фактический результат:* Требуется еще N раз сменить Локализацию в хедере для результата "
21001,Ошибка,Новая,Нормальный,"Не отображается ""Гарантия товара"" на превью товара (с кодом 292266) в категории ""Ноутбуки"" подраздела ""Портативна техніка"" в разделе ""Категорії""",Христина Шкільна,05/22/2023 12:09 AM,"*Шаги воспроизведения:*
1) Открыть сайт
2) На главной странице сайта слева в разделе ""Категорії"" навести курсор на блок ""Портативна техніка"" и выбрать из выпадающего списка раздел ""Ноутбуки""
3) Обратить внимание на товар с кодом 292266

*Ожидаемый результат:* отображается ""Гарантия товара"" на превью товара (с кодом 292266) в категории ""Ноутбуки"" подраздела ""Портативна техніка"" в разделе ""Категорії""
*Фактический результат:* не отображается ""Гарантия товара"" на превью товара (с кодом 292266) в категории ""Ноутбуки"" подраздела ""Портативна техніка"" в разделе ""Категорії""

https://gyazo.com/2fe56a486295823f72539f5a5b05e43e"
21000,Ошибка,Новая,Низкий,Отсутствует перевод в украинской версии сайта на украинский язык контента в слайдере на главной странице сайта,Христина Шкільна,05/21/2023 11:47 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Нажать на кнопку ""UA"" справа в хедере

*Ожидаемый результат:* в украинской версии сайта контент в слайдере на главной странице изложен на украинском языке
*Фактический результат:* в украинской версии сайта контент в слайдере на главной странице изложен на русском языке

https://gyazo.com/20a3d2a16bb69609e94181a4d0f39006"
20999,Ошибка,Новая,Низкий,"Не редактированны заголовки описания в подразделе ""Установка, обслуживание кондиционеров"" раздела ""Услуги"" слева в хедере на главной странице сайта",Христина Шкільна,05/21/2023 11:36 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Кликнуть на кнопку ""Услуги"" в хедере слева
3) На превью разделов нажать на вкладку ""Установка, обслуживание кондиционеров""
4) Нажать на кнопку ""Перейти в раздел"" на открывающемся превью раздела ""Установка, обслуживание кондиционеров"" слева в нижнем углу

*Ожидаемый результат:* редактированы заголовки ""Монтаж включает:"" и ""Стандартный монтаж кондиционера"" описания в подразделе ""Установка, обслуживание кондиционеров"" раздела ""Услуги"" слева в хедере на главной странице сайта
*Фактический результат:* не редактированы заголовки ""Монтаж включает:"" и ""Стандартный монтаж кондиционера"" описания в подразделе ""Установка, обслуживание кондиционеров"" раздела ""Услуги"" слева в хедере на главной странице сайта

https://gyazo.com/f4ada777a5eb962b235930b790a18139"
20998,Ошибка,Новая,Нормальный,"При нажатии на кнопку ""Ремонт и установка"" под слайдером на главной странице сайта происходит переход в раздел ""Лазерная гравировка""",Христина Шкільна,05/21/2023 11:17 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Кликнуть на кнопку ""Ремонт и установка"" под слайдером на главной странице сайта

*Ожидаемый результат:* при нажатии на кнопку ""Ремонт и установка"" под слайдером на главной странице сайта происходит переход в раздел ""Ремонт и установка""
*Фактический результат:* при нажатии на кнопку ""Ремонт и установка"" под слайдером на главной странице сайта происходит переход в раздел ""Лазерная гравировка""

https://gyazo.com/8c95f658e557215238887db59a50335d"
20997,Ошибка,Новая,Нормальный,"При нажатии на иконку ""Instagram"" в футере справа и переходе по ссылке отображается сообщение ""На жаль, ця сторінка недоступна. Посилання, за яким ви перейшли, можливо, пошкоджене або сторінку видалено""",Христина Шкільна,05/21/2023 11:00 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) На главной странице сайта в футере справа нажать на иконку ""Instagram""

*Ожидаемый результат:* при нажатии на иконку ""Instagram"" в футере справа и переходе по ссылке не отображается сообщение ""На жаль, ця сторінка недоступна. Посилання, за яким ви перейшли, можливо, пошкоджене або сторінку видалено""
*Фактический результат:* при нажатии на иконку ""Instagram"" в футере справа и переходе по ссылке отображается сообщение ""На жаль, ця сторінка недоступна. Посилання, за яким ви перейшли, можливо, пошкоджене або сторінку видалено""

https://gyazo.com/10febd4241a92109876505124ec23fcf"
20996,Ошибка,Новая,Нормальный,При пролистывании картинок любого лота нижние маленькие картинки ищезают по мере пролистывания ,Михаил Григорьев,05/21/2023 03:25 PM,"*Шаги воспроизведения*
1. Открыть сайт
2. Выбрать любой лот
3. Пролистать слайды с лотом вправо 

*Ожидаемый результат*
При пролистывании картинок любого лота нижние маленькие картинки не ищезают по мере пролистывания и можно пользоваться как маленькими картинками для пролистывания так и стрелочками на основном слайде 

*Фактический результат*
При пролистывании картинок любого лота нижние маленькие картинки ищезают по мере пролистывания 

*Link*
https://gyazo.com/3909d9d204fe0af89ba3fdea22d8a432
https://gyazo.com/2d1f60716dda70f6b369c7e87d180c98

"
20995,Ошибка,Новая,Низкий,"При ""UA"" локализации сайта, выбрав любой из предложенных товаров, используя функционал ""Описание товара"" информация на русском.",Алина  Качуривская  ,05/21/2023 03:15 PM,"*Шаги воспроизведения:*
1.Открыть сайт
2.Выбрать ""UA"" локализацию сайта.
3.Выбрать любой товар.
4.Открыть ""Описание товара""

*Ожидаемый результат:* 
При ""UA"" локализации сайта, выбрав любой из предложенных товаров, используя функционал ""Описание товара"" информация на украинском.

*Фактический результат:*
При ""UA"" локализации сайта, выбрав любой из предложенных товаров, используя функционал ""Описание товара"" информация на русском.

https://prnt.sc/4N1Oa_a_xoul
"
20994,Ошибка,Новая,Высокий,"В Хедере , в submenu  ""Категории"" , при выборе ""Бытовая техника"" отсутствует информация в разделе ""Кухонные плиты"".",Алина  Качуривская  ,05/21/2023 03:08 PM,"*Шаги воспроизведения:*
1. Открыть сайт
2. Открыть submenu ""Категории""
3. Выбрать ""Бытовая техника""
4. Навести курсор на ""Кухонные плиты"".

*Ожидаемый результат:* 
В Хедере , в submenu ""Категории"",при выборе ""Бытовая техника"" присутствует  информация в разделе ""Кухонные плиты"".

*Фактический результат:*
В Хедере , в submenu  ""Категории"" , при выборе ""Бытовая техника"" отсутствует информация в разделе ""Кухонные плиты"".

https://prnt.sc/9-Lsd-Yvvayr
"
20993,Ошибка,Новая,Высокий,"Ф-ть ""сравнение"" в хедере не отображает товары для сравнения находящиеся в корзине ",Михаил Григорьев,05/21/2023 02:58 PM,"*Шаги воспроизведения*
1. Открыть сайт
2. Выбрать любую ф-ть в разделе ""категории""
3. Выбираем 2 рандомных лота 
4. Переносим их в корзину
5. Кликаем ф-ть ""Сравнение"" в хедере 

*Ожидаемый результат*
Ф-ть ""Сравнение"" отображает товары для сравнения находящиеся в корзине. Либо предлагает к сравнению товары просмотренные ранее пользователем.

*Фактический результат*
 Ф-ть ""сравнение"" в хедере не отображает товары для сравнения находящиеся в корзине 

*Link*
https://gyazo.com/6ba40b0791c0063c99130798bf48133f"
20992,Ошибка,Новая,Нормальный,"При ""UA"" локализации сайта, выбрав ""Блог"" в Хедере,при использовании функционала ""Читать дальше"" , статья отсутствует.",Алина  Качуривская  ,05/21/2023 02:55 PM,"*Шаги воспроизведения:*
1.Открыть сайт
2.Выбрать ""UA"" локализацию сайта.
3.Выбрать""Блог"" 
4.Выбрав любую статью, открываем ""Читать дальше""

*Ожидаемый результат:* 
При ""UA"" локализации сайта, выбрав ""Блог"" в Хедере,при использовании функционала ""Читать дальше"" , статья присутствует.

*Фактический результат:*
При ""UA"" локализации сайта, выбрав ""Блог"" в Хедере,при использовании функционала ""Читать дальше"" , статья отсутствует.

Локализация RU- https://prnt.sc/Qld-OpFiYDya
Локализация UA- https://prnt.sc/1x_L0OXBtW3G"
20991,Ошибка,Новая,Нормальный,"При ""UA"" локализации сайта, выбрав ""Блог"" в Хедере,при использовании функционала ""Читать дальше"" , статья отсутствует.",Алина  Качуривская  ,05/21/2023 02:54 PM,"*Шаги воспроизведения:*
1.Открыть сайт
2.Выбрать ""UA"" локализацию сайта.
3.Выбрать""Блог""
4.Выбрав любую статью, открываем ""Читать дальше""

*Ожидаемый результат:* 
При ""UA"" локализации сайта, выбрав ""Блог"" в Хедере,при использовании функционала ""Читать дальше"" , статья присутствует.

*Фактический результат:*
При ""UA"" локализации сайта, выбрав ""Блог"" в Хедере,при использовании функционала ""Читать дальше"" , статья отсутствует.

Локализация RU- https://prnt.sc/Qld-OpFiYDya
Локализация UA-https://prnt.sc/1x_L0OXBtW3G"
20990,Ошибка,Новая,Нормальный,"Не отображаются статьи при выборе и входе в любую ф-ть в разделе ""Новости и статьи"" в футере ",Михаил Григорьев,05/21/2023 02:39 PM,"*Шаги воспроизведения*
1. Открыть сайт
2. Нажать ""PgDown""
3. Кликнуть любую ф-ть ""Читать дальше"" в разделе ""Новости и статьи""

*Ожидаемый результат*
Отображаются все статьи при при выборе и входе в любую ф-ть в разделе ""Новости и статьи"" в футере 

*Фактический результат*
Не отображаются статьи при выборе и входе в любую ф-ть в разделе ""Новости и статьи"" в футере 

*Link*
https://gyazo.com/3c7c3f24d6ba33a287a231e23a855b20
https://gyazo.com/018a20a11b36d52cf91edc6f65fd048e"
20989,Ошибка,Новая,Высокий,"При авторизации на сайте, функционал ""Забыли пароль"" пропускает некорректный номер.",Алина  Качуривская  ,05/21/2023 02:34 PM,"*Шаги воспроизведения:*
1.Открыть сайт
2.Выбираем способ авторизации ""Вход""
3.Используем функционал ""Забыли пароль""
4.Вводим некорректный номер.

*Ожидаемый результат:* 
При авторизации на сайте, функционал ""Забыли пароль""  не пропускает некорректный номер.

*Фактический результат:* 
При авторизации на сайте, функционал ""Забыли пароль"" пропускает некорректный номер.

https://prnt.sc/jM5gvB8V-5xC"
20988,Ошибка,Новая,Низкий,"При выборе ""UA"" локализации сайта, в Хедере, при незаполненном поле  ""Найти товар"" всплывает контекстное окно на русском.",Алина  Качуривская  ,05/21/2023 02:27 PM,"*Шаги воспроизведения:*
1. Открыть сайт.
2. Выбрать ""UA"" локализацию сайта.
3. Выбрать ""Найти товар"" при незаполненном поле. 

*Ожидаемый результат:* 
При выборе ""UA"" локализации сайта, в Хедере, при незаполненном поле  ""Найти товар"" всплывает контекстное окно на украинском.


*Фактический результат:*
При выборе ""UA"" локализации сайта, в Хедере, при незаполненном поле  ""Найти товар"" всплывает контекстное окно на русском.
https://prnt.sc/wGLpM7rrrJ_X"
20987,Ошибка,Новая,Нормальный,"При использовании функциональности ценового фильтра ""от"" и ""до"" все лоты упорядочены рандомно, а не в порядке возрастания цены",Михаил Григорьев,05/21/2023 02:13 PM,"*Шаги воспроизведения*
1. Открыть сайт
2. Написать в ф-ти поиска искомый товар или выбрать его в ф-ти категории
3. Кликнуть на товар выданный по результатам поиска
4. Задать ценовой диапазон

*Ожидаемый результат*
1. При использовании функциональности ценового фильтра ""от"" и ""до"" лоты упорядочены по возрастанию цены.

*Фактический результат*
1. При использовании функциональности ценового фильтра ""от"" и ""до"" все лоты упорядочены рандомно, а не в порядке возрастания цены

*Link*
https://gyazo.com/7a8add714f8fcfed74604643a37663e8"
20986,Ошибка,Новая,Низкий,"Ошибки в тексте при при открытии ф-ти и ответе на вопрос ""зачем регистрироваться"" в хедере ",Михаил Григорьев,05/21/2023 12:54 PM,"*Шаги воспроизведения*
1. Открыть сайт
2. Кликнуть ф-ть ""Вход""
3. Кликнуть ф-ть ""Зачем регистрироватся""

*Ожидаемый результат*
Ошибки в тексте при при открытии ф-ти и ответе на вопрос ""зачем регистрироваться"" в хедере исправлены. Начало предложения написано с большой буквы, между словами ""закладка"" и ""регистрация"" поставлен пробел и слово ""регистрация"" написано с маленькой буквы.

*фактический результат*
Ошибки в тексте при при открытии ф-ти и ответе на вопрос ""зачем регистрироваться"" в хедере 

*Link*
https://gyazo.com/ac300f5f4db10c55556e7df0f387d969"
20985,Ошибка,Новая,Нормальный,"При использовании ф-ти превода на украинский язык в хедере, слайды банера не меняются на слайды с украинским текстом ",Михаил Григорьев,05/21/2023 12:28 PM,"*Шаги воспроизведения*
1. Открыть сайт
2. Открыть ф-ть смены языка в хедере 
3. Поменять язык на UA

*Ожидаемый результат*
При использовании ф-ти превода на украинский язык в хедере слайды банера меняются на слайды с украинским текстом 

*Фактический результат*
При использовании ф-ти превода на украинский язык в хедере, слайды банера не меняются на слайды с украинским текстом 

*Link*
https://gyazo.com/68ad516f33d807af2e092eab68695874
 "
20984,Ошибка,Новая,Низкий,"Cлово ""колл-центр"" написано с ошибкой в выделенной синим иформационной строке в хедере ",Михаил Григорьев,05/21/2023 12:08 PM,"*Шаги воспроизведения*
1. Открыть сайт

*Ожидаемый результат*
1. Слово ""колл-центр"" исправлено и написано верно 

*Фактический результат*
1. Cлово ""колл-центр"" написано с ошибкой ""колл- центр"" в информационной строке в хедере 

*Link*
https://gyazo.com/996110d50c663c5d72933325c8442260"
20983,Ошибка,Новая,Низкий,Не естетична робота каталогу товарів при наведенні курсору на деякі групи,Сергій Колесник,05/21/2023 10:09 AM,"*Алгоритм дій:*
1) Відкрити сайт https://qwertyshop.ua
2) Навести курсор на окрему групу товарів

*Очікуваний результат:* Група товарів відображається естетично гарно
*Фактичний результат:* Не естетична робота каталогу товарів при наведенні курсору на деякі групи

https://gyazo.com/2ebdad3d96e2ed3cd17ce53e088c46f8"
20982,Ошибка,Новая,Низкий,При наведенні курсору на каталог товарів екран темнішає,Сергій Колесник,05/21/2023 10:01 AM,"*Алгоритм дій:*
1) Відкрити сайт
2) Навести курсор на каталог товарів

*Очікуваний результат:* При наведенні курсору на каталог товарів фоновий колір сайту залишається білим
*Фактичний результат:* При наведенні курсору на каталог товарів екран темнішає

https://gyazo.com/52d1b712ec1754ea6d82d64244ab0a0a"
20981,Ошибка,Новая,Низкий,Не полная локализация сайта на Укр. языке,Anastasiia Yeromenko,05/20/2023 07:31 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2)Переключаем в хеде сайта язык с Ру на Укр

*Ожидаемый результат:* При переходе на Украинский язык будет перевед весь сайт на выбраный язык
*Фактический результат:* Отсутвует полная локализация сайта. К примеру в функции входа в учетную запись

https://prnt.sc/g0JE6WAUUgpr"
20980,Ошибка,Новая,Высокий,"Ссылка ""О нас"" ведет на страницу отзывов клиентов",Anastasiia Yeromenko,05/20/2023 07:26 PM,"*Шаги воспроизведения:*
1) Открыть сайт


*Ожидаемый результат:* Тыкнув на кнопку ""О нас"" пользователя перекинет на страницу с описанием магазина и его возможностей
*Фактический результат:* Перекидывает на страницу отзывов клиентов. Страницы описания Компании нет.

https://prnt.sc/loqHpmn8NyRZ"
20979,Ошибка,Новая,Нормальный,"Не корректная работа ""Список сравнений"" для товара ""Геймерское кресло""",Anastasiia Yeromenko,05/20/2023 07:21 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) В каталоге выбираем любые два Геймерских креста
3) Добавляем их в сравнение

*Ожидаемый результат:* Будут показаны все отличительные характеристики двух кресел
*Фактический результат:* Отображает только отличие в марке кресел

https://prnt.sc/TzmJbbtUjW2J"
20978,Ошибка,Новая,Низкий,"Кривое выравнивание текста в ""Корзине""",Anastasiia Yeromenko,05/20/2023 07:14 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Добавить товар в корзину


*Ожидаемый результат:* Весь текст будет выровнят по центру
*Фактический результат:* Часть текста выровнята по левой стороне, часть по центру

https://prnt.sc/lY1CL6MD2t52"
20977,Ошибка,Новая,Нормальный,"Отсутствует список Электротранспорта на странице ""Распродажа"" не смотря на наличие скидок",Anastasiia Yeromenko,05/20/2023 07:11 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Мотаем на дно сайта
3) В ФУТе в ""Выборка товаров"" переходим на страницу ""Распродажа""

*Ожидаемый результат:* На странице ""Распродажа"" будет список всех товаров со скидками
*Фактический результат:* На странице ""Распродажа"" отсутствует список Электротранспорта

https://prnt.sc/FfVHDmll07Rq
https://prnt.sc/qblPFQRgu8HG"
20976,Ошибка,Новая,Высокий,"Отсутствует кнопка призыва к действию ""Добавить в корзину"" в быстром просмотре товара",Anastasiia Yeromenko,05/20/2023 07:06 PM,"*Шаги воспроизведения:*
1) Открыть сайт


*Ожидаемый результат:* Просматривая карточку товара покупатель сможет быстро добавить его не только в ""Любимое"", ""Сравнение"" но и в ""Корзину""
*Фактический результат:* Покупатель не может добавить товар в корзину. Для выполнения этого действия нужно обязательно перейти на страницу товара

https://prnt.sc/7D5stMp-1Pah"
20975,Ошибка,Новая,Нормальный,"Некорректная работа фильтра ""Цена, ₴""",Anastasiia Yeromenko,05/20/2023 07:01 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) В ""Каталог"" выбираем ""Портативная техника""
3) В ""Портативная техника"" выбираем ""Карты памяти""

*Ожидаемый результат:* Если выбрать в фильтре ценник ОТ ""16718"" то товар с данной стоимостью будет отображаться
*Фактический результат:* Если выбрать в фильтре ценник ОТ ""16718"" то товар с данной стоимостью не будет отображаться

https://prnt.sc/cRUlzTrtAacr
https://prnt.sc/i5khCSb4ih7O"
20974,Ошибка,Новая,Низкий,Разный размер вотермарок у товаров,Anastasiia Yeromenko,05/20/2023 06:55 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) В ""Каталог"" выбираем ""Портативная техника""
3) В ""Портативная техника"" выбираем ""Карты памяти""

*Ожидаемый результат:* У всех товаров будет одинаковая вотермарка
*Фактический результат:* У товаров вотермарки разных размеров

https://prnt.sc/IbJxjaUeOtur"
20973,Ошибка,Новая,Низкий,"Таблица с ссылками в ""Карта сайта"" отображается как ""Каталог товаров""",Anastasiia Yeromenko,05/20/2023 06:50 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Мотаем на дно сайта
3) В ФУТе в ""Выборка товаров"" переходим на страницу ""Карта сайта""

*Ожидаемый результат:* Таблица на странице ""Карта сайта"" будет называться ""Карта сайта""
*Фактический результат:* Таблица на странице ""Карта сайта"" называется ""Каталог товаров""

https://prnt.sc/0AJNJtkc5tfW"
20972,Ошибка,Новая,Нормальный,"Не кликабельные ""Оценки"" брендов ",Anastasiia Yeromenko,05/20/2023 06:45 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Мотаем на дно сайта
3) В ФУТе в ""Выборка товаров"" переходим на страницу ""Бренды"" 

*Ожидаемый результат:* Пользователь может прочитать отзывы на Бренд 
*Фактический результат:* Пользователь не может почитать отзыв на бренд ни в ""Католог брендов"" ни на самой странице бренда

https://prnt.sc/tNmdOoCh_JRL"
20971,Ошибка,Новая,Низкий,Разные теги шрифта в одном блоке сайта,Anastasiia Yeromenko,05/20/2023 06:34 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Мотаем сайт почти в самый низ

*Ожидаемый результат:* Заголовки текста в блоке одного цвета и размера
*Фактический результат:* В одном Блоке сайта используется 4 различных размера текста и три цвета(при считывании синих ссылок). Из-за чего блок выходит слишком загруженным.

https://prnt.sc/4kOzryWjFXtn"
20970,Ошибка,Новая,Низкий,"В каталозі товарів у розділі ""Телевізори"", в підрозділі ""Аксесуари для телевізорів"" картинка не відповідає наповненню",Сергій Колесник,05/20/2023 10:29 AM,"*Алгоритм дій:*
1) Відкрити сайт https://qwertyshop.ua
2) Зайти у розділ ""Телевізори"" у каталозі товарів

*Очікуваний результат:* В каталозі товарів у розділі ""Телевізори"", в підрозділі ""Аксесуари для телевізорів"" картинка має відповідати наповненню
*Фактичний результат:* В каталозі товарів у розділі ""Телевізори"", в підрозділі ""Аксесуари для телевізорів"" картинка не відповідає наповненню

https://gyazo.com/e6ea16314b834735f6a73c7f22850e1f
https://gyazo.com/6b7282bdc5b1c5e427017756028f9e9d"
20969,Ошибка,Новая,Нормальный,"На головній сторінці у розділі ""Новини та статті"" при натисканні посилання ""Читати далі"" статті відсутні",Сергій Колесник,05/20/2023 10:06 AM,"*Алгоритм дій:*
1) Відкрити сайт https://qwertyshop.ua/
2) У розділі ""Новини та статті"" натиснути на посилання ""Читати далі""

*Очікуваний результат:* Має бути написана стаття у розділі ""Новини та статті""
*Фактичний результат:* На головній сторінці у розділі ""Новини та статті"" при натисканні посилання ""Читати далі"" статті відсутні

https://gyazo.com/1e3b4eef5e6d870c8b4d1384c6359e12
https://gyazo.com/794442e13b9e33c5a77e23a045b44ea3"
20960,Ошибка,Новая,Низкий,"При выборе ""UA"" локализации сайта, в меню ""Каталог товаров"" , при выборе ""Фототовары и оптика"" всплывает контекстное меню на русском языке.",Алина  Качуривская  ,05/19/2023 08:05 PM,"*Шаги воспроизведения:*
1.Открыть сайт
2.В меню ""Каталог товаров""навести курсор на ""Фототовары и оптика""
﻿﻿﻿
*Ожидаемый результат:*
При выборе ""UA"" локализации сайта, в меню ""Каталог товаров"" , при выборе ""Фототовары и оптика"" всплывает контекстное меню на украинском языке.

*Фактический результат:*
При выборе ""UA"" локализации сайта, в меню ""Каталог товаров"" , при выборе ""Фототовары и оптика"" всплывает контекстное меню на русском языке.

https://prnt.sc/qYNihXMJ3m7s"
20959,Ошибка,Новая,Высокий,"На главной странице сайта, в  отделе ""Спец.предложение"", 3 товара отсутствуют в наличии.",Алина  Качуривская  ,05/19/2023 07:42 PM,"*Шаги воспроизведения:*
1.Открыть сайт
2.Открыть ""Спец.предложение"" 
﻿﻿﻿
*Ожидаемый результат:* 
На главной странице сайта, в  отделе ""Спец.предложение"", все товары  в наличии.

*Фактический результат:*
 На главной странице сайта, в  отделе ""Спец.предложение"", 3 товара отсутствуют в наличии.

https://prnt.sc/U30C3xYrj6T5"
20958,Ошибка,Новая,Низкий,"При выборе ""UA"" локализации сайта, в разделе ""Характеристики"", информация на русском языке.",Алина  Качуривская  ,05/19/2023 07:27 PM,"*Шаги воспроизведения:*
1. Открыть Сайт
2. Открыть владку ""Спецыальное предложение"" (любой товар)
3. Открыть ""Характеристики""
﻿﻿﻿
*Ожидаемый результат:*
При выборе ""UA"" локализации сайта, в разделе ""Характеристики"", информация на украинском языке.

*Фактический результат:*
При выборе ""UA"" локализации сайта, в разделе ""Характеристики"", информация на русском языке.

https://prnt.sc/JxglOTeufjMA"
20957,Ошибка,Новая,Низкий,"При выборе ""UA"" локализации сайта, в ""Вариантах оплаты"" информация на русском языке.",Алина  Качуривская  ,05/19/2023 07:23 PM,"*Шаги воспроизведения:*﻿﻿﻿
1. Открыть сайт
2. Открыть владку ""Спецыальное предложение"" (любой товар)
3. Варианты оплат 

*Ожидаемый результат:* 
При выборе ""UA"" локализации сайта, в ""Вариантах оплаты"" информация на украинском языке.

*Фактический результат:*
При выборе ""UA"" локализации сайта, в ""Вариантах оплаты"" информация на русском языке.

https://prnt.sc/c8Q6mrfX2FLB"
20956,Ошибка,Новая,Низкий,"При выборе ""UA"" локализации сайта, в ""Кратком описании товара"" , текст на русском языке.",Алина  Качуривская  ,05/19/2023 07:15 PM,"*Шаги воспроизведения:*
1. Открыть сайт 
2. Открыть ""Спец.предложение"" (любой товар)
﻿﻿﻿
*Ожидаемый результат:* 
При выборе ""UA"" локализации сайта, в ""Кратком описании товара"" , текст на украинском языке.

*Фактический результат:*
При выборе ""UA"" локализации сайта, в ""Кратком описании товара"" , текст на русском языке.

https://prnt.sc/Y7ShidGwKZfK"
20955,Ошибка,Новая,Низкий,"При выборе ""UA"" локализации сайта, во вкладке ""Расскрыть текст"",  часть текста не переведена на украинский язык.",Алина  Качуривская  ,05/19/2023 06:51 PM,"*Шаги воспроизведения:*﻿﻿﻿
1.Открыть сайт
2.Открыть вкладку ""Расскрыть текст""

*Ожидаемый результат:*
При выборе ""UA"" локализации сайта, во вкладке ""Расскрыть текст"",  весь текст переведен на украинский язык.

*Фактический результат:*
При выборе ""UA"" локализации сайта, во вкладке ""Расскрыть текст"",  часть текста не переведена на украинский язык.

https://prnt.sc/NhwuV3SUGkKO"
20954,Ошибка,Новая,Низкий,"При выборе ""UA""  локализации сайта,  в Футере функционал ""Расскрыть текст"" не переведен.",Алина  Качуривская  ,05/19/2023 06:45 PM,"*Шаги воспроизведения:*
1.Открыть сайт
2.Опуститься в Футер.
﻿﻿﻿
*Ожидаемый результат:* 
При выборе ""UA""  локализации сайта,  в Футере функционал ""Расскрыть текст"" на украинском языке.

*Фактический результат:*
При выборе ""UA""  локализации сайта,  в Футере функционал ""Расскрыть текст"" не переведен.

https://prnt.sc/os7pN9R1R-jD
"
20953,Ошибка,Новая,Нормальный,Кол-во содержимого в корзине не соответствует с цифрой на самой иконке корзины,Олександр Артьомов,05/19/2023 04:09 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Добавить 2 и более товара в корзину
3) Навести курсор на иконку ""корзина""

*Ожидаемый результат:* Кол-во содержимого в корзине соответствует с цифрой на самой иконке корзины
*Фактический результат:* Кол-во содержимого в корзине *не* соответствует с цифрой на самой иконке корзины

https://gyazo.com/599258f3cd65983750d7f305d726b835"
20952,Ошибка,Новая,Высокий,При возврате на главную страницу сайта кол-во товаров в корзине обнуляется,Олександр Артьомов,05/19/2023 04:02 PM,"*Шаги воспроизведения:*
1) Открыть сайт

*Ожидаемый результат:*  При возврате на главную страницу сайта кол-во товаров в корзине *не* обнуляется
*Фактический результат:* При возврате на главную страницу сайта кол-во товаров в корзине обнуляется

https://gyazo.com/26e6b90910bef20b66905821ed9e37d2
https://gyazo.com/db23ac1a8f67cb3cec52ee6ed767e760"
