#,Tracker,Status,Priority,Subject,Assignee,Updated,Description
21431,Ошибка,Новая,Нормальный,[L10n] Отсутствует локализация для страны Lao PDR На сайте отсутствует локализация на Лао́сский,Лилия Вегнер ,07/12/2023 09:03 PM,"*Шаги воспроизведения:*

1.Открыт сайт https://www.hennessy.com
2.Выбрать страну Lao PDR
3.Выбрать соответствующий возраст
4.Нажать ""Enter""
5.Обратить внимание на локализацию  Лао́сский
 
 *Ожидаемый результат:* 
Сайт отображается на 

*Актуальный результат:*
Сайт отображается на английском

*Браузер:*
Google Chrome
"
21430,Ошибка,Новая,Нормальный,[L10N] Отсутствует испанский язык в мексиканской версии сайта https://www.hennessy.com,Михаил Григорьев,07/12/2023 09:01 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Переходим в Каталог стран
3) Выбираем Мексика
*Ожидаемый результат:* Сайт перешел на испанский язык локализации
*Фактический результат :* сайт перешел на английский язык локализации

https://prnt.sc/Mldv-1KsxI-X"
21429,Ошибка,Новая,Нормальный,"Отсутсвует локализация ""Cyprus"" на сайте https://www.hennessy.com/en-int",Михаил Григорьев,07/12/2023 09:00 PM,"*Шаги воспроизведения:*
1) Открыть сайт https://www.hennessy.com/en-int
2) Во всплывающем окне в блоке ""COUNTRY / REGION*"" выбрать регион ""Cyprus"", в блоке ""YEAR OF BIRTH*"" выбрать 2005

*Ожидаемый результат:* присутствует локализация ""Cyprus"" на сайте https://www.hennessy.com/en-int
*Фактический результат:* отсутствует локализация ""Cyprus"" на сайте https://www.hennessy.com/en-int

https://gyazo.com/9d6c2c0ff5d740823313a89dfa1165a1"
21428,Ошибка,Новая,Нормальный,"Отсутсвует локализация ""Cyprus"" на сайте https://www.hennessy.com/en-int",Михаил Григорьев,07/12/2023 08:58 PM,"*Шаги воспроизведения:*
1) Открыть сайт https://www.hennessy.com/en-int
2) Во всплывающем окне в блоке ""COUNTRY / REGION*"" выбрать регион ""Cyprus"", в блоке ""YEAR OF BIRTH*"" выбрать 2005

*Ожидаемый результат:* присутствует локализация ""Cyprus"" на сайте https://www.hennessy.com/en-int
*Фактический результат:* отсутствует локализация ""Cyprus"" на сайте https://www.hennessy.com/en-int

https://gyazo.com/9d6c2c0ff5d740823313a89dfa1165a1"
21427,Ошибка,Новая,Нормальный,[L10n] Отсутствует локализация для страны Lao PDR На сайте отсутствует локализация на Лао́сский,Лилия Вегнер ,07/12/2023 08:58 PM,"*Шаги воспроизведения:*

1.Открыт сайт https://www.hennessy.com
2.Выбрать страну Lao PDR
3.Выбрать соответствующий возраст
4.Нажать ""Enter""
5.Обратить внимание на локализацию сайта
 
 *Ожидаемый результат:* 
Сайт отображается на Лао́сский

*Актуальный результат:*
Сайт отображается на английском

*Браузер:*
Google Chrome
"
21426,Ошибка,Новая,Нормальный,Отсутствует локализация на 中国大陆 языке,Михаил Григорьев,07/12/2023 08:57 PM,"
*Шаги воспроизведения:*
1) Открыть сайт
2)Указать страну и возраст

*Ожидаемый результат:*
Присутствует локализация на 中国大陆 языке


*Фактический результат:*
Отсутствует локализация на 中国大陆 языке


https://prnt.sc/OdGyZ3jFVUew


"
21425,Ошибка,Новая,Нормальный,[L10n] Отсутствует локализация для страны Kyrgyzstan На сайте отсутствует локализация на Киркизский,Лилия Вегнер ,07/12/2023 08:54 PM,"[L10n] Отсутствует локализация для страны Kyrgyzstan  На сайте отсутствует локализация на Киркизский
*Шаги воспроизведения:*

1.Открыт сайт https://www.hennessy.com
2.Выбрать страну Kyrgyzstan
3.Выбрать соответствующий возраст
4.Нажать ""Enter""
5.Обратить внимание на локализацию сайта
 
 *Ожидаемый результат:* 
Сайт отображается на Киркизский

*Актуальный результат:*
Сайт отображается на английском

*Браузер:*
Google Chrome"
21424,Ошибка,Новая,Нормальный,[L10N] Нет локализации для Гвинеи-Бисау,Михаил Григорьев,07/12/2023 08:54 PM,"Язык Гвинея-Бисау является Португальским

Шаги:
1. Зайти на сайт
2. Выбрать страну ""Guinea-Bissau(Гвинея-Бисау)""
3. Установить возраст 18+

Ожидаемый рез.: Сайт будет на Португальской локализации
Фактический рез.: Сайт на Английской локализации"
21423,Ошибка,Новая,Нормальный,[L10N] Отсутствует французский язык в малийской версии сайта https://www.hennessy.com,Михаил Григорьев,07/12/2023 08:53 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Переходим в Каталог стран
3) Выбираем Мали

*Ожидаемый результат:* Сайт перешел на французский язык локализации
*Фактический результат :* сайт перешел на английский язык локализации

https://prnt.sc/Mldv-1KsxI-X

"
21422,Ошибка,Новая,Нормальный,Відсутня французька локалізація на сайті Hennessy,Михаил Григорьев,07/12/2023 08:51 PM,"*Алгоритм дій:*
1) Відкрити сайт hennessy.com
2) Обрати країну Того

*Очікуваний результат:* Має бути французька локалізація згідно офіційній мові країни
*Фактичний результат:* Відсутня французька локалізація на сайті Hennessy

https://gyazo.com/2a951c50dc485493e061b2467b44166a"
21421,Ошибка,Новая,Нормальный,Отсутствует локализация на Боснийском\Сербском\Хорватском для Bosnia and Herzegovina,Anastasiia Yeromenko,07/12/2023 08:51 PM,"*Шаги воспроизведения:*
1) Открыть сайт

*Ожидаемый результат:* Переведено для Bosnia and Herzegovina
*Фактический результат:* Не переведено для Bosnia and Herzegovina
https://prnt.sc/Rp5Ib6jKsy_0
"
21420,Ошибка,Новая,Нормальный,Не пускает дальше из=за возраста,Михаил Григорьев,07/12/2023 08:50 PM,"*Описание:* В Гвинея-Бисау возраст распития спиртного не установлен

*Шаги:*
1. Открыть сайт
2. Выбрать страну ""Guinea-Bissau(Гвинея-Бисау)""
3. Поставить возраст от 2023 до 2006

*Ожидаемый рез.:* Сайт пустит нас дальше, т.к. мы не нарушаем правил своей страны
*Фактический рез.:* Сайт нас не пускает из-за недостаточного возраста"
21419,Ошибка,Новая,Нормальный,[L10n] Отсутствует локализация для страны Kazakhstan   ,Лилия Вегнер ,07/12/2023 08:49 PM,"Отсутствует перевод на Казахский
*Шаги воспроизведения:*

1.Открыт сайт https://www.hennessy.com
2.Выбрать страну Kazakhstan
3.Выбрать соответствующий возраст 
4.Нажать ""Enter""
5.Обратить внимание на локализацию сайта
 
 *Ожидаемый результат:* 
Сайт отображается на Казахском

*Актуальный результат:*
Сайт отображается на английском

*Браузер:*
Google Chrome
"
21418,Ошибка,Новая,Нормальный,Не допускает Индию на сайт,Сергей Пидтесаный,07/12/2023 08:47 PM," Ограничение употребления спиртного в Индии зависит от штата страны
 
  _Шаги воспроизведения:_
 1) Открыть сайт
 2) Выбрать страну Индию
 3) Выбрать год рождения 2002
 _Ожидаемый результат:_ 
Сайт запросит штат Индии"
21417,Ошибка,Новая,Нормальный,Отсутствует локализация на любом из 46 официальных языков для Bolivia,Anastasiia Yeromenko,07/12/2023 08:47 PM,"*Шаги воспроизведения:*
1) Открыть сайт

*Ожидаемый результат:* Переведено для Bolivia
*Фактический результат:* Не переведено для Bolivia
https://prnt.sc/Rp5Ib6jKsy_0"
21416,Ошибка,Новая,Нормальный,[L10N] Отсутствует мальдивский язык в мальдивской версии сайта https://www.hennessy.com,Михаил Григорьев,07/12/2023 08:47 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2) Переходим в Каталог стран
3) Выбираем Мальдивы

*Ожидаемый результат:* Сайт перешел на макльдивский язык локализации
*Фактический результат :* сайт перешел на английский язык локализации

https://prnt.sc/Mldv-1KsxI-X

"
21415,Ошибка,Новая,Нормальный,"Отсутсвует локализация ""Dominican Republic"" на сайте https://www.hennessy.com/en-int",Михаил Григорьев,07/12/2023 08:46 PM,"*Шаги воспроизведения:*
1) Открыть сайт https://www.hennessy.com/en-int
2) Во всплывающем окне в блоке ""COUNTRY / REGION*"" выбрать регион ""Dominican Republic"", в блоке ""YEAR OF BIRTH*"" выбрать 2005

*Ожидаемый результат:* присутствует локализация ""Dominican Republic"" на сайте https://www.hennessy.com/en-int
*Фактический результат:* отсутствует локализация ""Dominican Republic"" на сайте https://www.hennessy.com/en-int

https://gyazo.com/1695c9544ff8e7571db473d008e3c080"
